stream, dataset, path, Emergency, EmittanceScan, 2p0E34+ZeroBias+HLTPhysics, 2p0E34, 1p95E34, 1p9E34, 1p85E34, 1p8E34, 1p6E34, 1p4E34, 2p0E34_OnlyMuons, 2p0E34_NoL1CICADA, Backup1, Backup2, HIon, PRef, seed
ALCAPHISYM, AlCaPhiSym, AlCa_EcalPhiSym_v22, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, L1_ZeroBias OR L1_IsolatedBunch
ALCAPPSExpress, AlCaPPSExpress, HLT_PPSMaxTracksPerArm1_v10, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, L1_ZeroBias
ALCAPPSExpress, AlCaPPSExpress, HLT_PPSMaxTracksPerRP4_v10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 1, L1_ZeroBias
ALCAPPSPrompt, AlCaPPSPrompt, HLT_PPSMaxTracksPerArm1_v10, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, L1_ZeroBias
ALCAPPSPrompt, AlCaPPSPrompt, HLT_PPSMaxTracksPerRP4_v10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 1, L1_ZeroBias
Calibration, TestEnablesEcalHcal, HLT_EcalCalibration_v4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, (none)
Calibration, TestEnablesEcalHcal, HLT_HcalCalibration_v6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, (none)
DQM, OnlineMonitor, HLT_AK8DiPFJet250_250_SoftDropMass40_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8DiPFJet250_250_SoftDropMass50_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8DiPFJet260_260_SoftDropMass30_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8DiPFJet260_260_SoftDropMass40_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
DQM, OnlineMonitor, HLT_AK8DiPFJet270_270_SoftDropMass30_v8, 0, 30, 30, 30, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 0, 0, L1_SingleJet180 OR L1_SingleJet180er2p5 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
