stream, dataset, path, Emergency, EmittanceScan, 2p0E34+ZeroBias+HLTPhysics, 2p0E34, 1p95E34, 1p9E34, 1p85E34, 1p8E34, 1p6E34, 1p4E34, 2p0E34_OnlyMuons, 2p0E34_NoL1CICADA, Backup1, Backup2, HIon, PRef, seed
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v18, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu3_OS_er2p3_Mass_Max14_DoubleEG7p5_er2p1_Mass_Max20
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu3_TkMu_DsTau3Mu_v18, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_TripleMu_3SQ_2p5SQ_0_OS_Mass_Max12 OR L1_TripleMu_4SQ_2p5SQ_0_OS_Mass_Max12 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_TripleMu_3SQ_2p5SQ_0 OR L1_TripleMu_3SQ_2p5SQ_0_Mass_Max12 OR L1_TripleMu_5SQ_3SQ_0OQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu3_Trk_Tau3mu_v26, 0, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 8, 0, L1_TripleMu_3SQ_2p5SQ_0_OS_Mass_Max12 OR L1_TripleMu_4SQ_2p5SQ_0_OS_Mass_Max12 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_3_Bs_v29, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_3_Displaced_Photon4_BsToMMG_v14, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_3_Jpsi_v29, 0, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 160, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_3_LowMass_SS_v8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, L1_DoubleMu0er1p5_SQ_dR_Max1p4 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p5
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_3_LowMass_v15, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_3_Photon4_BsToMMG_v14, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_JpsiTrkTrk_Displaced_v21, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_JpsiTrk_Bc_v14, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_Jpsi_Displaced_v21, 0, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 480, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_Jpsi_NoVertexing_v21, 0, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_LowMass_Displaced_v15, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu4_MuMuTrk_Displaced_v29, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v18, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu5_OS_er2p3_Mass_8to14_DoubleEG3er2p1_Mass_Max20
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Mu25_TkMu0_Phi_v22, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Mu30_TkMu0_Psi_v15, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Mu30_TkMu0_Upsilon_v15, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Mu4_L1DoubleMu_v15, 0, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8, 0, L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Mu7p5_L2Mu2_Jpsi_v24, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Mu7p5_L2Mu2_Upsilon_v24, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v18, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v18, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v18, 0, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 8, 0, L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v18, 0, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 8, 0, L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_Trimuon5_3p5_2_Upsilon_Muon_v19, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17 OR L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v16, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi3p5_Muon2_v19, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v21, 0, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi_L1_NoOS_v21, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v21, 0, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v21, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi_NoVertexing_v22, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0_SQ_OS OR L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Jpsi_v22, 0, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 8, 0, L1_DoubleMu0_SQ_OS OR L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_LowMass_L1_0er1p5_v22, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p5_SQ_OS OR L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_LowMass_L1_4_v22, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4_SQ_OS OR L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_LowMass_L1_TM530_v20, 0, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 8, 0, L1_TripleMu_5SQ_3SQ_0OQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_LowMass_v22, 0, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 8, 0, L1_DoubleMu0_SQ_OS OR L1_DoubleMu0_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Upsilon_L1_4p5_v23, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4p5_SQ_OS
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v21, 0, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 8, 0, L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Upsilon_L1_4p5er2p0_v23, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4p5er2p0_SQ_OS OR L1_DoubleMu4p5_SQ_OS
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_TripleMu_5_3p5_2p5
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Upsilon_NoVertexing_v21, 0, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440, 8, 0, L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon0_Upsilon_v1, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0, L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon10_Upsilon_y1p4_v15, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon12_Upsilon_y1p4_v16, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon14_Phi_Barrel_Seagulls_v21, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon14_PsiPrime_noCorrL1_v19, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon14_PsiPrime_v27, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon18_PsiPrime_noCorrL1_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon18_PsiPrime_v28, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon24_Phi_noCorrL1_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon24_Upsilon_noCorrL1_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon25_Jpsi_noCorrL1_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_Dimuon25_Jpsi_v28, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass3, HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v20, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
